time_step,sector_id,row,col,x,y,true_status,label,treatment_timer,wind_speed,wind_direction,humidity,season_multiplier,neighbors
0,88,8,8,8.0,8.0,0,healthy,0,5.75,43.62,61.94,0.8,"77,78,79,87,89,97,98,99"
0,89,8,9,9.0,8.0,0,healthy,0,5.75,43.62,61.94,0.8,"78,79,88,98,99"
0,90,9,0,0.0,9.0,0,healthy,0,5.75,43.62,61.94,0.8,"80,81,91"
0,91,9,1,1.0,9.0,0,healthy,0,5.75,43.62,61.94,0.8,"80,81,82,90,92"
0,92,9,2,2.0,9.0,0,healthy,0,5.75,43.62,61.94,0.8,"81,82,83,91,93"
0,93,9,3,3.0,9.0,0,healthy,0,5.75,43.62,61.94,0.8,"82,83,84,92,94"
0,94,9,4,4.0,9.0,0,healthy,0,5.75,43.62,61.94,0.8,"83,84,85,93,95"
0,95,9,5,5.0,9.0,0,healthy,0,5.75,43.62,61.94,0.8,"84,85,86,94,96"
0,96,9,6,6.0,9.0,0,healthy,0,5.75,43.62,61.94,0.8,"85,86,87,95,97"
0,97,9,7,7.0,9.0,0,healthy,0,5.75,43.62,61.94,0.8,"86,87,88,96,98"
0,98,9,8,8.0,9.0,0,healthy,0,5.75,43.62,61.94,0.8,"87,88,89,97,99"
0,99,9,9,9.0,9.0,0,healthy,0,5.75,43.62,61.94,0.8,"88,89,98"
1,0,0,0,0.0,0.0,0,healthy,0,7.28,43.91,60.39,0.822,"1,10,11"
1,1,0,1,1.0,0.0,0,healthy,0,7.28,43.91,60.39,0.822,"0,2,10,11,12"
1,2,0,2,2.0,0.0,0,healthy,0,7.28,43.91,60.39,0.822,"1,3,11,12,13"
1,3,0,3,3.0,0.0,0,healthy,0,7.28,43.91,60.39,0.822,"2,4,12,13,14"
1,4,0,4,4.0,0.0,0,healthy,0,7.28,43.91,60.39,0.822,"3,5,13,14,15"
1,5,0,5,5.0,0.0,0,healthy,0,7.28,43.91,60.39,0.822,"4,6,14,15,16"
1,6,0,6,6.0,0.0,0,healthy,0,7.28,43.91,60.39,0.822,"5,7,15,16,17"
1,7,0,7,7.0,0.0,0,healthy,0,7.28,43.91,60.39,0.822,"6,8,16,17,18"
1,8,0,8,8.0,0.0,0,healthy,0,7.28,43.91,60.39,0.822,"7,9,17,18,19"
1,9,0,9,9.0,0.0,0,healthy,0,7.28,43.91,60.39,0.822,"8,18,19"
1,10,1,0,0.0,1.0,0,healthy,0,7.28,43.91,60.39,0.822,"0,1,11,20,21"
1,11,1,1,1.0,1.0,0,healthy,0,7.28,43.91,60.39,0.822,"0,1,2,10,12,20,21,22"
1,12,1,2,2.0,1.0,1,infected,7,7.28,43.91,60.39,0.822,"1,2,3,11,13,21,22,23"
1,13,1,3,3.0,1.0,1,infected,7,7.28,43.91,60.39,0.822,"2,3,4,12,14,22,23,24"
1,14,1,4,4.0,1.0,0,healthy,0,7.28,43.91,60.39,0.822,"3,4,5,13,15,23,24,25"
1,15,1,5,5.0,1.0,0,healthy,0,7.28,43.91,60.39,0.822,"4,5,6,14,16,24,25,26"
1,16,1,6,6.0,1.0,0,healthy,0,7.28,43.91,60.39,0.822,"5,6,7,15,17,25,26,27"
1,17,1,7,7.0,1.0,0,healthy,0,7.28,43.91,60.39,0.822,"6,7,8,16,18,26,27,28"
1,18,1,8,8.0,1.0,0,healthy,0,7.28,43.91,60.39,0.822,"7,8,9,17,19,27,28,29"
1,19,1,9,9.0,1.0,0,healthy,0,7.28,43.91,60.39,0.822,"8,9,18,28,29"
1,20,2,0,0.0,2.0,0,healthy,0,7.28,43.91,60.39,0.822,"10,11,21,30,31"
1,21,2,1,1.0,2.0,0,healthy,0,7.28,43.91,60.39,0.822,"10,11,12,20,22,30,31,32"
1,22,2,2,2.0,2.0,1,infected,6,7.28,43.91,60.39,0.822,"11,12,13,21,23,31,32,33"
1,23,2,3,3.0,2.0,0,healthy,0,7.28,43.91,60.39,0.822,"12,13,14,22,24,32,33,34"
1,24,2,4,4.0,2.0,0,healthy,0,7.28,43.91,60.39,0.822,"13,14,15,23,25,33,34,35"
1,25,2,5,5.0,2.0,0,healthy,0,7.28,43.91,60.39,0.822,"14,15,16,24,26,34,35,36"
1,26,2,6,6.0,2.0,0,healthy,0,7.28,43.91,60.39,0.822,"15,16,17,25,27,35,36,37"
1,27,2,7,7.0,2.0,0,healthy,0,7.28,43.91,60.39,0.822,"16,17,18,26,28,36,37,38"
1,28,2,8,8.0,2.0,0,healthy,0,7.28,43.91,60.39,0.822,"17,18,19,27,29,37,38,39"
1,29,2,9,9.0,2.0,0,healthy,0,7.28,43.91,60.39,0.822,"18,19,28,38,39"
1,30,3,0,0.0,3.0,0,healthy,0,7.28,43.91,60.39,0.822,"20,21,31,40,41"
1,31,3,1,1.0,3.0,0,healthy,0,7.28,43.91,60.39,0.822,"20,21,22,30,32,40,41,42"
1,32,3,2,2.0,3.0,0,healthy,0,7.28,43.91,60.39,0.822,"21,22,23,31,33,41,42,43"
1,33,3,3,3.0,3.0,0,healthy,0,7.28,43.91,60.39,0.822,"22,23,24,32,34,42,43,44"
1,34,3,4,4.0,3.0,0,healthy,0,7.28,43.91,60.39,0.822,"23,24,25,33,35,43,44,45"
1,35,3,5,5.0,3.0,0,healthy,0,7.28,43.91,60.39,0.822,"24,25,26,34,36,44,45,46"
1,36,3,6,6.0,3.0,0,healthy,0,7.28,43.91,60.39,0.822,"25,26,27,35,37,45,46,47"
1,37,3,7,7.0,3.0,0,healthy,0,7.28,43.91,60.39,0.822,"26,27,28,36,38,46,47,48"
1,38,3,8,8.0,3.0,0,healthy,0,7.28,43.91,60.39,0.822,"27,28,29,37,39,47,48,49"
1,39,3,9,9.0,3.0,0,healthy,0,7.28,43.91,60.39,0.822,"28,29,38,48,49"
1,40,4,0,0.0,4.0,0,healthy,0,7.28,43.91,60.39,0.822,"30,31,41,50,51"
1,41,4,1,1.0,4.0,0,healthy,0,7.28,43.91,60.39,0.822,"30,31,32,40,42,50,51,52"
1,42,4,2,2.0,4.0,0,healthy,0,7.28,43.91,60.39,0.822,"31,32,33,41,43,51,52,53"
1,43,4,3,3.0,4.0,0,healthy,0,7.28,43.91,60.39,0.822,"32,33,34,42,44,52,53,54"
1,44,4,4,4.0,4.0,0,healthy,0,7.28,43.91,60.39,0.822,"33,34,35,43,45,53,54,55"
1,45,4,5,5.0,4.0,1,infected,7,7.28,43.91,60.39,0.822,"34,35,36,44,46,54,55,56"
1,46,4,6,6.0,4.0,1,infected,7,7.28,43.91,60.39,0.822,"35,36,37,45,47,55,56,57"
1,47,4,7,7.0,4.0,0,healthy,0,7.28,43.91,60.39,0.822,"36,37,38,46,48,56,57,58"
1,48,4,8,8.0,4.0,0,healthy,0,7.28,43.91,60.39,0.822,"37,38,39,47,49,57,58,59"
1,49,4,9,9.0,4.0,0,healthy,0,7.28,43.91,60.39,0.822,"38,39,48,58,59"
1,50,5,0,0.0,5.0,0,healthy,0,7.28,43.91,60.39,0.822,"40,41,51,60,61"
1,51,5,1,1.0,5.0,0,healthy,0,7.28,43.91,60.39,0.822,"40,41,42,50,52,60,61,62"
1,52,5,2,2.0,5.0,0,healthy,0,7.28,43.91,60.39,0.822,"41,42,43,51,53,61,62,63"
1,53,5,3,3.0,5.0,0,healthy,0,7.28,43.91,60.39,0.822,"42,43,44,52,54,62,63,64"
1,54,5,4,4.0,5.0,0,healthy,0,7.28,43.91,60.39,0.822,"43,44,45,53,55,63,64,65"
1,55,5,5,5.0,5.0,1,infected,6,7.28,43.91,60.39,0.822,"44,45,46,54,56,64,65,66"
1,56,5,6,6.0,5.0,1,infected,7,7.28,43.91,60.39,0.822,"45,46,47,55,57,65,66,67"
1,57,5,7,7.0,5.0,0,healthy,0,7.28,43.91,60.39,0.822,"46,47,48,56,58,66,67,68"
1,58,5,8,8.0,5.0,0,healthy,0,7.28,43.91,60.39,0.822,"47,48,49,57,59,67,68,69"
